Name,Calories,Protein,Carbs,Fat
Zamiennik cukru Erytrytol 100% - Look Food,0.0,0.0,0.0,0.0
Sos chilli czosnkowy - Tao Tao,106.0,1.3,23.8,0.3
Śmiej Żelki Shaki - Nimm2,323.0,5.8,75.0,0.2
Wafle suche,396.0,6.0,75.0,7.0
Sajgonki wołowo - wieprzowe - Asia Cook,229.0,6.2,17.0,14.0
Kotlety sojowe (nieugotowane),310.0,50.0,23.0,2.0
Hamburger - McDonalds,255.0,13.0,30.0,9.0
chleb kaszubski mieszany sitkowy,197.0,5.3,44.0,1.2
Sos sweet chili - Asia Cook,200.0,0.5,49.0,0.5
Dżem brzoskwiniowy - Biedronka,142.0,0.5,34.0,0.5
Musli fruit - Kaufland,359.0,9.3,60.0,6.9
Kasza gryczana z pieczarkami,104.0,5.0,19.0,1.0
Majonez stołowy koronny - Biedronka,496.0,0.5,7.7,51.4
Soczewica zielona - Tesco,346.0,23.0,55.0,2.0
Paluszki - Lubella,349.0,9.5,64.0,5.4
"Jogurt naturalny gęsty (do zup, sałatek) - Bakoma",138.0,4.8,7.3,10.0
Ryż Curry,199.0,7.5,31.4,4.9
Baton Nussini - Milka,560.0,7.0,52.5,35.0
Wafle ryżowe z kaszą jaglaną,337.0,7.0,71.4,1.4
Serek homogenizowany Darek czekoladowy - Mlekovita,131.0,5.5,16.0,5.0
Lody jogurtowo-wiśniowe MANHATTAN,166.0,2.0,26.2,5.9
Baton twarogowy Svalja,356.0,11.5,25.4,23.0
Pomidory z kartonu - Freshona,24.0,1.1,3.8,0.1
Zupa pieczarkowa wegetariańska,65.0,2.0,8.0,3.0
Serek twarogowy z migdałami i sokiem z ananasa - Goldessa,382.0,9.6,21.2,28.5
Wątróbki z dorsza atlantyckiego w tłuszczu własnym (konserwa) - Krakowski Kredens,609.0,4.0,0.0,66.0
Ciastka amerykanki kakaowe,576.0,6.0,61.1,33.0
Babka Cytryniak,360.0,3.5,42.0,19.7
Pischinger,327.0,7.0,60.0,7.0
tofu wędzone soja,169.0,16.3,4.0,9.8
Kakao - Schovit (rozpuszczone),85.0,3.8,12.7,1.9
Zupa koperkowa Eat Me,37.0,1.0,6.0,1.0
"Kanapka z twarożkiem, szczypiorkiem i papryką",132.0,4.0,16.0,10.0
Sałatka z brokułem i pomidorami,54.0,5.0,4.0,3.0
Tuńczyk po meksykańsku - Rio Mare,200.0,10.0,10.0,13.0
Mieszanka 7 składnikowa Wiosenny przysmak,33.0,1.9,4.2,0.0
Kiełbasa wegetariańska Chorizo,455.0,24.0,1.9,38.0
Fasola biała w sosie pomidorowym,75.0,4.4,12.2,0.2
Pasztet z wątróbek,108.0,10.0,5.0,5.0
Serek śmietankowy w plastrach z papryką - Piątnica,307.0,8.4,3.0,29.0
Jogurt truskawkowy - Oshee,70.0,2.8,13.0,0.8
Lody Algida Śmietankowa krówka,162.0,2.8,22.0,6.8
Komosa ryżowa - Tesco (ugotowana),114.0,4.4,18.5,1.9
Jogurt naturalny 0% Activia - Danone,57.0,5.0,7.0,1.0
Sos warzywny - Lubella,65.0,1.0,11.0,1.0
Dżem z czarnej porzeczki - Owocowa Rapsodia,136.0,1.0,31.2,0.1
krem z zielonych warzyw Iglotex,60.0,3.4,7.2,1.3
Parówki z filetem z kurcząt - Drobimex,184.0,16.0,0.8,13.0
Ogórek kanapkowy musztardowy - Provitus,58.0,0.8,13.0,0.4
Jogurt Froop truskawkowy - Muller,103.0,3.9,16.1,2.2
Sok marchwiowy - Vitaminka,39.0,0.5,8.2,0.1
Baton z owocami goji - Legal Cakes,300.0,20.0,50.0,4.0
Kotlet mielony z indyka z płatkami owsianymi i cebulą,115.0,17.6,1.6,4.0
Szakszuka,83.0,5.0,6.0,4.0
Lody lewiatan rożek,226.0,3.0,30.0,10.0
Odżywka Białkowa WPC Protein Econo V3,353.0,70.0,15.0,1.2
Płatki jaglane opiekane - Sonko,380.0,10.7,73.5,3.6
Baton protein - Dr. Ritter,388.0,20.0,52.5,8.2
Kurczak po tajsku z ryżem,205.0,11.7,17.9,9.4
Chipsy Sticks - Lay's,515.0,5.8,53.0,30.0
Lody fruit Big Milk (w różowej polewie),133.0,1.6,24.0,3.4
Bavaria Piwo Bezalkoholowe,24.0,0.3,5.8,0.0
Śmietana mniej niż 10% tłuszczu,98.0,4.0,4.1,7.3
Papryka zielona smażona,127.0,0.8,4.2,11.9
Coca-Cola Cherry,43.0,0.0,10.7,0.0
Lody waniliowo-czekoladowe - Marletto Duo - Biedronka,170.0,1.9,22.0,8.1
Naleśniki z mąki orkiszowej i twarogu,149.0,13.1,15.5,3.6
Lody Kwaśniak,88.0,0.0,22.0,0.0
Nori,34.0,6.0,5.0,0.3
Sos borowikowy - Knorr,59.0,1.0,6.0,3.0
Płatki z ryżu i pełnego ziarna pszenicy z płatkami w polewie i truskawkami - Biedronka,399.0,7.7,78.7,5.0
Serek homogenizowany waniliowy - Jovi,103.0,5.0,14.0,3.2
Lody Cafe Morani Duo,93.0,1.1,12.1,4.5
Wafle ryżowe bio z amarantusem - Vitanella,381.0,9.0,77.0,2.9
Americana Tuńczyk z warzywmi - Graal,252.0,8.0,7.0,21.0
Czekolada 81% - Arriba,510.0,10.0,22.8,42.8
Chleb razowy ze słonecznikiem - Sobieski,225.0,5.4,48.7,1.0
Ciasteczka 5 zbóż RicoRanki - Lidl,442.0,8.3,71.0,13.0
Wołowina z pieczarkami,92.0,13.1,2.0,3.4
Wafle gofrowe familijne z musem o smaku wanili - Jutrzenka,525.0,7.5,61.0,28.0
Jogurt Fantasia z ananasem i kokosem - Danone,120.0,2.4,14.4,5.8
Dżem jagodowy - Owocowa Rapsodia,170.0,0.5,40.0,0.0
Lody łaciate - Koral,182.0,4.0,20.0,10.0
krem pomidorowy z soczewicą,69.0,3.3,8.3,3.0
Chrupkie paluchy pszenne - Biedronka,439.0,11.0,68.0,13.0
Piernik - Lidl,348.0,6.7,68.8,4.5
Maca (korzeń) w proszku BIO,369.0,10.0,76.0,1.3
Syrop malinowy z cytryną Paola,330.0,0.0,82.0,0.0
Musli bananowe - Tesco,458.0,8.7,65.0,16.0
Czekolada mleczna z orzechami laskowymi - Terravita,546.0,6.5,50.0,35.0
Ogórki konserwowe - Pariser,85.0,0.5,20.0,0.5
Serek Śmietankowy - Bieluch,168.0,5.5,5.0,14.0
Jogurt ze zbożami i brzoskiwnią - Kaufland,100.0,3.0,16.0,2.5
Płatki śnaidaniowe Special Chocolate & strawberry - Fitella,374.0,7.8,72.8,5.7
Ryż zwykły na mleku - Muller,101.0,3.4,16.1,2.6
Pomidor puszka - Piotr i Paweł,21.0,1.3,3.0,0.0
Mleko kokosowe - Thai Coco,178.0,0.9,2.5,18.2
Filet z pstrąga w sosie paprykowym (konserwa) - Graal,117.0,14.0,4.5,4.8
Napój mleczny Milk IT! bananowy - Biedronka,71.0,2.9,12.2,1.2
Ciastka Cookies Sensations Choco inside - Milka,510.0,4.2,63.0,27.0
Kulki ciasteczka z Biedronki,476.0,7.0,68.0,19.0
Lody Rożek czekoladowy - Koral,264.0,3.8,33.0,13.0
Lody Guliwer Almonds,234.0,3.0,19.4,16.0
Chipsy Chipsletten Południowa Papryka - Lorenz,504.0,5.5,57.1,28.3
Bita śmietanka spray BACOMA 17%,230.0,2.6,17.0,17.0
Gulasz wołowy z kaszą gryczaną,102.0,6.0,7.0,6.0
Jogurt naturalny BIO Wiśnia - Milbona,102.0,3.9,15.0,2.7
Galaretka z pianką smak owoców leśnych - Winiary,67.0,1.7,12.4,1.2
Mięso mielone z warzywami i koncentratem,85.0,9.0,6.0,3.0
Płatki żytnie (600g) - BioAvena,295.0,9.0,60.1,1.7
Wafel Tofelek,461.0,5.0,68.0,18.0
Ryba z pieca z sosem pieczarkowym - Frosta,140.0,9.8,6.7,8.1
Kefir o smaku waniliowym - Pilos,68.0,3.0,11.0,1.3
Pstrąg tęczowy gotowany na parze Marinero,142.0,20.1,0.0,6.8
Enchilada z serem i wołowiną,168.0,6.2,15.9,9.2
Wafle Wafitki zbożowo-ryżowe,379.0,11.2,75.0,2.9
Chili con carne z ryżem,67.0,5.0,10.0,1.0
Falafel z dodatkiem jajka,241.0,13.0,36.0,5.0
Musli lekkie zboża z owocami,341.0,9.3,72.9,3.1
Sum filet w zalewie warzywnej - Superfish,85.0,9.0,3.3,3.9
Sos indyjski - Łowicz,52.0,0.6,9.5,1.1
Jogurt Jogobella American Mandarin Cheese cake - Zott,108.0,3.6,16.0,2.8
Kaszka śmietankowa delicata - Biedronka,131.0,3.6,15.5,6.0
Fasola czerwona w sosie Cayene,106.0,4.7,12.1,2.9
Kefir owocowy - Isolda,81.0,2.7,14.1,1.5
Zupa brokułowa z żółtym serem typu salami,81.0,3.6,4.2,5.8
Sok jabłkowo-ananasowy świeżo wyciskany,46.0,0.0,11.0,0.0
Jogurt naturalny śmietankowy wiejski - Strzałkowo,100.0,2.7,2.1,9.0
Serek śmietankowy w plastrach - Piątnica,276.0,10.0,5.0,24.0
Chleb organiczny ze słonecznikiem,216.0,5.6,37.7,4.0
Serek Feta sałatkowy  - Piotr i Paweł,176.0,10.0,2.8,14.0
Rewersy lajkonik,445.0,9.0,65.0,16.0
Sheridan's Coffee Layered Liqueur,315.0,1.0,35.0,7.0
Bułka toskańska,259.0,6.0,52.0,2.0
Jogurt grecki light bez laktozy - Łowicz,74.0,4.0,5.0,4.0
Lody jogurtowe z sosem mango,120.0,2.0,13.5,6.4
Tuńczyk z kukurydzą marchewką groszkiem i oliwkami - Salatino,252.0,7.6,7.3,21.0
Kiełbasa wieprzowa świeża surowa,304.0,15.1,0.0,26.5
Białko Provit - Olimp,356.0,80.0,2.2,3.0
Serek Danio Extra z kawałkami toffi,138.0,5.4,17.3,5.1
Baton energetyczny Powerbread,414.0,6.0,68.0,12.0
Trendy Lunch pomidory - Melvit,333.0,14.0,58.0,3.0
Tuńczyk w oleju - Tesco,190.0,27.0,0.0,9.0
Ciasto Czarny Las,205.0,5.4,28.9,7.5
Chipsy Tasty o smaku grillowanych warzyw - Top,559.0,5.7,53.0,35.0
Pierogi z serem Hiberto Polo,176.0,6.8,33.0,1.7
Kotlety sojowe a'la schabowe - Orico (nieugotowane),314.0,41.2,14.2,1.2
Serek Danio waniliowy z rodzynkami,116.0,5.4,16.5,3.1
Jogurt Polskie Smaki - Bakoma,70.0,2.1,12.5,1.3
Płatki Clusters - Nestle,401.0,10.4,66.2,8.8
Napój Mullermilch Czekoladowy - Muller,79.0,3.5,12.4,1.6
Baileys Irish Cream,350.0,3.2,43.0,19.7
makrela w sosie pomidorowym kaufland,190.0,12.0,5.1,13.0
Łosoś marynowany,128.0,9.0,2.6,9.1
Ciastka Amaretti Italiamo - Lidl,434.0,6.0,78.0,10.0
Majonez light - Heinz,271.0,0.7,8.8,25.6
Żeberka wieprzowe wędzone,283.0,22.5,1.2,18.9
Mieszanka warzywna 6 składników,43.0,2.7,5.3,0.5
Płatki owsiane błyskawiczne  - Plony Natury,363.0,13.0,60.0,5.7
Pierogi ruskie - Virtu,196.0,6.0,30.0,5.1
Konfitura Maliny z rumem - Spiżarnia,187.0,1.0,50.0,0.2
Tequilla,231.0,0.0,0.0,0.0
Chleb musli,226.0,5.8,34.0,6.3
Makrela w oleju,266.0,19.7,0.1,20.8
Kiełbasa śląska - Tarczyński,201.0,20.2,0.0,13.4
Kurczak po tajsku,94.0,10.8,2.1,4.7
Kasza kukurydziana (ugotowana),109.0,2.5,23.1,0.3
szpinak mrożony tesco,25.0,3.2,0.6,0.2
Krewetki z masłem czosnkowym - MyFood,416.0,9.4,0.8,42.0
"Omlet a la pizza - vege salami, ser, pomidor, cebula, mąka , jajko, ketchup",169.0,7.3,23.8,4.6
Mini pizza ser+szynka - Dr. Oetker,267.0,9.6,35.7,9.3
KFD Premium WPC 80 smak pistacjowy,412.0,79.0,9.0,7.0
Filety śledziowe w oleju a'la Matijas - Lisner,212.0,18.0,0.0,16.0
Czekolada żurawinowa  - Wawel,494.0,4.1,56.7,27.6
Napój Lipton Ice Tea brzoskwiniowy - Lipton,19.0,0.0,4.7,0.0
ciastko maślane lidl,551.0,4.9,62.0,31.0
Filety śledziowe w sosie śmietanowym z grzybami - Lisner,289.0,6.7,5.7,26.5
Chrupsy plasterki jabłka z sokiem truskawkowym - Crispy Natural,68.0,0.3,15.4,0.1
Quiche ze szpinakiem,239.0,7.7,11.7,18.2
zielona soczewica,315.0,24.0,46.0,2.0
Mąka kasztanowa,369.0,5.0,78.4,3.9
Ciastka Lu Go nadziewane kremem czekoladowo-orzechowym,465.0,7.7,66.0,18.0
Sok z czerwonych grejfrutów - Melly,38.0,0.6,7.4,0.1
Ser salami z pomidorami i bazylią SPOMLEK,349.0,25.0,1.5,27.0
Ser Tofu Eko,112.0,12.0,3.0,6.0
Placki z dyni,102.0,4.0,7.0,7.0
Kiełbasa Fuet hiszpański,458.0,23.5,5.5,38.0
guma orbit dla dzieci,146.0,0.0,61.0,0.0
Marmolada o smaku dzikiej róży - Rapsodia,228.0,0.5,55.0,0.5
Jogurt sojowy - Alpro,50.0,4.0,2.1,2.3
Sałatka warzywna - Kaufland,150.0,2.0,13.0,9.0
Ciastko z morelą - Biedro,253.0,6.0,29.0,12.0
Tuńczyk Calvo,97.0,22.0,0.0,1.0
Ciasto drożdżowe Duża Blacha - Delecta,336.0,8.0,48.0,12.0
Serek kremow ziołowy - Aldi,244.0,4.4,3.2,23.5
Zupa krem z ciecierzycy - Vital Fresh,67.0,3.4,10.1,1.1
Aminomax 8000 Gaspari aminokwasy rozgałęzione,32.0,8.0,0.0,0.0
Grzanki z chleba baltonowskiego z serem salami,298.0,11.7,34.2,12.7
Wafelek Gimi śmietankowy - Społem,519.0,5.2,64.5,26.5
Dżem gruszkowy z sokiem z pigwy,144.0,0.2,35.0,0.1
Makaron pełne ziarno z żytem - Lubella,334.0,12.0,61.0,2.2
Zupa krem z  ziemniaków,35.0,0.8,5.7,1.2
Sok malinowy (kupny),324.0,0.0,81.0,0.0
"Placki ziemniaczane (pieczarki, cebula, suszone pomidory)",126.0,3.8,24.6,1.4
Jogurt grecki  jagodowy - Biedronka,84.0,7.0,14.0,0.0
Żyto Ekspandowane,329.0,7.9,74.2,2.2
Jogurt jogobella brzoskwinia-marakuja do picia,76.0,2.9,13.6,0.9
Żurawina suszona - Farmers,213.0,0.3,50.0,0.6
Roladka z kurczaka z papryką,165.0,25.0,1.0,6.0
Przecier pomidorowy Passta di Pomodoro - Freshona,30.0,1.5,4.5,0.1
Ciasto z fasoli,165.0,8.0,18.0,7.0
Polskie Młyny Chleb Pszenno - Żytni ze słonecznikiem,267.0,9.9,41.0,5.5
Owsianka Sweet & Go - Bruggen,378.0,12.9,61.7,7.0
"Płatki mix (gryczane,jęczmienne,owsiane,pszenne,żytnie)",342.0,11.0,60.0,3.8
Ser podpuszczkowy twardy wędzony Scamorza,265.0,27.0,1.0,17.0
Bułka pszenna Hamburger - Tesco,246.0,6.9,43.0,4.5
Śmietana 22% - Piątnica,220.0,2.5,2.9,22.0
Pizza wegetariańska na cieście francuskim Frosta,261.0,6.0,23.0,17.0
Frytki z piekarnika moje,238.0,4.0,38.0,7.0
Płatki zbożowe,379.0,13.0,68.0,7.0
Sajgonki z wieprzowiną,254.0,6.1,24.0,14.2
Halibut na parze,211.0,15.9,0.0,15.9
Pasztet z drobiem i pomidorami,208.0,8.1,5.7,17.0
Żurawina suszona - Helio,293.0,0.5,70.0,0.5
Serek kanapkowy puszysty Giorno - Tesco,225.0,6.8,6.6,19.0
Serek homogenizowany waniliowy - SM Siedlce,120.0,7.8,13.2,4.0
Kluski na parze z jagodami,227.0,6.1,44.4,3.2
Wiśnie drylowane (słoik),76.0,0.4,18.0,0.5
Kefir naturalny warlubski - Jagr,51.0,2.7,6.7,1.5
Hot dog - CPN,436.0,12.2,42.0,25.1
Lody stracciatella - Grycan,176.0,3.0,17.0,11.0
Maśłanka pieczone jabłka - Tesco,74.0,3.2,12.0,1.5
Ser Brie Figura jogurtowy,294.0,18.0,0.4,24.5
Musztarda miodowa - Subway,125.0,1.0,27.0,1.0
lody jogurtowe magnificent,257.0,4.0,38.0,10.0
Surówka z selerem i rodzynkami,49.0,1.0,10.0,0.0
Kurger - Czekolada do picia o obniżonej zawartości tłuszczu,377.0,11.0,68.0,4.4
Musli truskawkowe i czekolada - Fitella,451.0,9.6,61.9,16.7
Płatki Gold Flakes - Nestle,401.0,7.1,80.4,4.8
Groszek konserwowy Chira - Lidl,63.0,4.9,12.8,0.2
Parówki Hot Dog - Indykpol,216.0,11.0,7.0,16.0
Donut czekoladowy,452.0,4.9,51.0,25.0
Lody Sorbet jagodowy,218.0,1.0,24.0,13.0
Chipsy cebulowe,517.0,5.9,54.0,30.0
Cielęcina,105.0,20.0,0.0,2.2
Śliwki suszone - Makar,300.0,3.5,68.9,1.2
Filet z makreli w sosie pomidorowym - Łosoś,150.0,13.1,4.0,9.0
Bulion (kostka) rosół warzywny - Asta,5.0,0.5,0.5,0.5
Kiełbasa żywiecka MIX,254.0,22.0,1.0,18.0
Pasztet Mazowiecki - Łuków,230.0,10.0,4.5,19.0
Twarożek wiejski - Jogo,142.0,9.1,1.8,10.0
Makaron ryżowy - House of Asia,368.0,1.6,88.6,0.8
Chleb - Świeżak,199.0,4.8,42.8,1.0
Kabanoski drobiowe Gryzale - Tarczyński,265.0,23.0,6.2,16.0
Serek wiejski - Naramowice,83.0,11.0,2.4,3.0
Podgrzybek (suszony),127.0,3.0,27.0,1.0
Wino białe wytrawne dobrze policzone,66.0,0.1,0.6,0.0
Tuńczyk sałatkowy w zalewie - Spar,95.0,23.0,0.0,0.4
Sos pomidorowy - Barilla,61.0,1.6,6.8,2.7
Margaryna z masłem mix 70% - Rama,628.0,0.5,0.8,70.0
Baton 32% białka - Weider,516.0,32.0,37.0,27.0
"Butter Beans, fasola biala w puszce, Tesco",89.0,5.9,13.0,0.5
Paluszki krakersowe Crixy zielona cebulka - Felix,473.0,6.0,64.0,21.0
"Seler konserwowy ""Wyborny"" - Rolnik",34.0,0.8,5.7,0.5
Sałatka z kuskusem i fetą,239.0,7.2,25.7,10.0
Krakersy serowe Party Snack,477.0,12.0,65.0,18.0
Paluszki chlebowe Grissini z sezamem,444.0,15.4,63.2,13.5
Lody koktajlowe Krówka - Kukułka - Koral,208.0,3.4,26.0,10.0
Makaron muszelki - Makarony Polskie,364.0,13.0,74.0,1.3
Kawa Carmel Latte Macchiato duża - McDonald's,254.0,9.0,32.0,13.0
Miód pitny (13%),355.0,0.0,90.0,0.0
Serek Orzechowa Aleja - Tartare,250.0,7.2,3.5,23.0
Surówka z łososiem - Wars,65.0,5.0,4.0,4.0
Ser kozi - Delikate,152.0,8.0,3.0,12.0
Lody Magnum Strawberry & White,281.0,3.1,35.0,14.0
Sos francuski,440.0,0.0,5.0,46.0
Czekolada Bubbly - Milka,535.0,6.4,57.5,30.0
Płatki fitneski - Lubię:),388.0,7.6,75.0,3.7
Pizza z szynką i serem Donatello - Biedronka,224.0,14.0,25.2,7.5
Warzywa na zupę,45.0,1.9,8.9,0.4
Mus Jabłko Banan Kubuś,53.0,0.4,10.8,0.4
Płatki kokosowe z błonnikiem,698.0,7.1,12.0,67.0
Ciastka Alusie z polewą kakaową i wiórkami kokosowymi (dr Gerard),543.0,7.3,61.0,29.0
Kiełbasa niemiecka - German Bratwurst,309.0,16.0,1.2,27.0
Jogurt Fantasia - Danone,116.0,2.3,14.8,5.3
Sok pomarańczowy - Aldi,43.0,0.0,10.0,0.0
bakoma MEN BIAŁKO,84.0,8.0,9.0,1.8
Chleb miodowy,193.0,6.3,39.9,0.9
Ciasto bananowo budyniowe,232.0,2.6,40.7,5.4
Chleb żytni domowy mały,201.0,6.0,38.7,2.0
Napój energetyczny Energy Drink Blueberry - Rockstar,59.0,0.5,14.0,0.5
Surówka koperkowa - Piotr i Paweł,80.0,1.1,12.0,3.9
Twarożek Ricotta Fresca - Merivio,118.0,8.0,4.0,8.0
Kabanosy z piersi indyka - Indykpol,319.0,22.9,1.2,24.8
Schab w galarecie,91.0,15.0,3.0,1.9
Przecier pomidorowy rumuński,102.0,0.8,25.0,0.1
Seler wiórki,32.0,1.0,5.6,0.0
Golonka wieprzowa w plastrach - Wierzejki,180.0,18.0,0.5,12.0
Kiełki (Beansprouts),63.0,1.8,0.7,5.7
Sok czerwony grejpfrut - Tymbark,41.0,0.0,9.5,0.0
Kaczka faszerowana indykiem,204.0,16.7,0.5,15.0
Surówka z kalarepy,43.0,1.8,5.7,1.6
Bulion kostka wołowa - Winiary,16.0,0.3,0.8,1.3
Soczewica czerwona TESCO,347.0,25.0,53.0,2.0
Marmolada z dziką różą,234.0,0.5,57.0,0.5
Tortilla żytnia z kurczakiem,146.0,10.6,9.7,6.9
Kebab wegański 150g - Kalma,243.0,21.8,9.2,13.4
Czekolada gorzka Dark  (70% kakao) - Luxima,519.0,8.3,33.8,38.5
Cukierki pastylki miętowe bez cukru Winterfresh,398.0,0.0,96.9,1.2
Kluski tarte szare,122.0,3.3,27.4,0.3
Białko konopne,357.0,49.0,8.0,13.0
Kakao - Cadbury,425.0,7.8,70.0,11.5
Sok Jabłkowo-Marchewkowy - Royal Apple,49.0,0.2,11.5,0.0
Pasta z suszonych pomidorów Sottile Gusto - Biedronka,326.0,3.0,5.9,31.0
Płoć smażona,35.0,8.4,0.0,0.6
Napój smoothie winogron-malina - Lidl,50.0,0.6,10.5,0.2
Sałatka z jajkiem i brokułami - Lisner,233.0,3.8,7.4,20.3
Tłuszcz roślinny Butella - Aldik,657.0,0.0,0.0,73.0
Szynka Puten Brustfilet,107.0,21.0,1.0,2.0
Lody Arietta z migdałami,241.0,3.0,19.4,15.9
Kiełbaski Cumberland pork sausage - healthy living - Tesco,146.0,16.0,10.0,5.0
Biszkopty 180 g - La Nuvola,344.0,8.0,71.0,3.0
Cielęcina (mięso z kością),129.0,19.2,0.0,5.2
Mieszanka warzywna na patelnię z koperkiem - Hortex,57.0,2.2,8.1,1.2
Jogurt Greek style low fat,55.0,7.4,5.3,0.5
Ciepłe lody,329.0,3.2,60.7,8.4
Soja a la mięso mielone,330.0,35.0,41.0,2.0
Herbata z imbirem (nieparzona) - BioFix,5.0,0.0,1.0,0.0
Tuńczyk rozdrobniony w wodzie - Marinna,80.0,20.0,0.0,0.5
Sok pomidorowy - Cymes,25.0,0.0,6.0,0.0
Czekoladki belgijskie,543.0,5.6,56.5,32.0
Makaron penne nieugotowany - Aldi,366.0,13.0,74.0,2.0
Jogurt grecki lekki (Mleczne Smaki Świata) - Lacpol,74.0,4.2,6.4,3.5
Lody Carte D'or Advocat,200.0,2.5,30.0,7.0
Sos Kowbojski - Subway,429.0,1.4,7.1,43.0
Czekolada mleczna z bakaliami - E. Wedel,502.0,8.0,56.0,27.0
Shake,148.0,3.4,19.6,6.5
Chleb słonecznikowy na zakwasie - ICA,300.0,13.0,16.0,19.0
Śliwki suszone - Sereno,293.0,3.4,58.0,3.2
Polędwica z kurcząt - Drobimex,96.0,18.9,2.0,1.4
Lody Carte D'or Milka,210.0,3.5,28.0,10.0
Sok marchwiowo-jabłkowo-pomarańczowo-imbirowy,44.0,0.6,11.0,0.2
Fix Gulasz z kurczakiem proszek - Knorr,340.0,8.8,53.0,7.9
Chleb mały wholemeal loaf - Aldi,222.0,10.0,38.0,2.0
Dżem truskawkowy niskosłodzony - Anna,148.0,0.0,36.0,0.0
"Mleko H-Voll Milch 3,5%",64.0,3.3,4.7,3.5
Baton chrupiący orzech - Dobra Kaloria,376.0,8.7,55.0,12.0
Wafle orkiszowe pełnoziarniste,362.0,16.0,61.0,4.0
Jogurt kozi jagodowy,78.0,2.8,12.0,2.0
Baton Adaś mleczny,481.0,3.7,65.5,21.3
Chrupki curly - Lorenz,500.0,13.0,56.0,24.0
Makaron Babuni - Zwijka (ugotowany),146.0,5.4,29.0,1.0
Mięso mielone z szynki wieprzowej do 7% tłuszczu,128.0,19.0,1.2,5.0
Ser Fromage de Normandie,333.0,16.0,0.0,30.0
Bezglutenowe ciasteczka z mąki ryżowej,230.0,4.2,32.0,10.0
Przyprawa Doprawka do zupy 750 g - Netto,112.0,5.0,22.0,1.0
Chleb wysokobiałkowy Active,199.0,17.0,22.5,4.4
Jogurt naturalny - Strzałkowo,100.0,2.7,2.1,9.0
Zupa krem z ciecierzycy,67.0,3.4,10.1,1.1
Baton zbożowy czekoladowy,419.0,9.2,58.3,15.3
Serek twarogowy bialy bez laktozy,83.0,17.0,3.8,0.3
Włoszczyzna mrożona - Netto (mrożonka),32.0,1.0,4.0,1.0
Kanapka z szynką 15 cm - Subway,273.0,17.0,46.0,4.0
krewetki białe tesco,59.0,13.0,0.0,0.8
Baton Fig Bar z jagodami - Nature's Bakery,380.0,6.0,70.0,9.0
Ser żółty Rolada Giżycka,285.0,24.0,0.1,21.0
Gołąbki z pieczarkami,66.0,3.0,12.0,2.0
Chleb z pieca graham,229.0,6.2,46.9,1.5
Jogurt z kawałkami brzoskwinia marakuja - Fruvita,101.0,2.7,17.0,2.5
Pomidory w puszce - Alnatura,24.0,1.5,4.0,0.2
Kiełbasa z łososia,221.0,21.0,0.4,15.0
Galaretka drobiowa - SmakMak,35.0,8.0,0.0,0.0
Serek homogenizowany Cornello wiśnia i czarny bez - Fruit Jumbo,131.0,6.6,13.8,5.0
Sałatka z kurczaka wędzonego,169.0,7.0,8.0,12.0
Ciecierzyca - Kuchnia Lidla,364.0,19.0,61.0,6.0
Pudding pyszny Serduszko waniliowy z sosem malinowym - Zott,71.0,1.0,16.0,0.0
Prażynki ziemniaczane Solone,561.0,0.8,59.0,36.0
Kefir lätt  truskawkowy - Arlanda,60.0,3.3,8.7,0.5
Twarożek wiejski Sawuszkin,98.0,10.6,2.8,5.0
Lody Kolorowe Lato śmietankowo-truskawkowo-czekoladowe,169.0,2.7,24.8,6.5
Płatki crunchy owies/pszenica/ryż,450.0,9.2,59.9,19.2
Tuńczyk w oleju roślinnym - B&K,245.0,23.0,0.0,17.0
Chleb bezglutenowy - Tesco,228.0,5.1,33.3,5.7
Kiełki czarnej rzepy,52.0,3.8,3.6,2.5
Lody rożek,148.0,1.6,23.1,5.0
Zupa krem Pani Dynia & Cynamon - Pan Pomidor & Co,34.0,0.6,3.2,1.5
Pieczarki suszone,362.0,20.0,51.0,4.2
Cukierki Fresh & Fruity - Wawel,365.0,0.0,90.0,0.0
Czekoladki Thank You - Milka,565.0,7.0,49.5,36.5
parówki wieprzowe Auchan 1,259.0,12.0,1.0,23.0
Sałatka warzywna z papryką,173.0,2.0,11.0,13.0
Pyzy Babci Tereni,251.0,7.9,45.0,3.7
Warzywa na patelnię (rotfrukts) - Garant,35.0,1.1,5.1,0.3
Kaszka śmietankowa - Smakija,131.0,3.6,15.5,6.0
Ciasteczka francuskie z łososiem i szpinakiem,272.0,6.3,22.0,17.3
Przekąska owsiano-orkiszowa Topfit - Granex,350.0,10.0,62.1,4.3
Chipsy Stix solone - Lay's,526.0,5.9,52.0,32.0
Kruche ciastka z czekoladą i wiórkami kokosowymi - Lidl,559.0,5.2,52.0,36.0
dorsz smażony w panierce,232.0,15.0,17.0,12.0
Sałatka hawajska - Salad Story,99.0,9.0,7.6,4.0
Jogurt Puree Day Up,61.0,2.0,12.0,1.5
Ketchup łagodny - Mikado,120.0,2.0,26.0,0.0
Wafelki - Elitesse,544.0,5.6,56.3,32.2
Serek wiejski lekki - Krasnystaw,76.0,10.0,2.2,3.0
Polędwica bretońska - Sokołów,204.0,36.0,3.0,6.0
Napój Smoothie zielony jarmużowy,70.0,1.2,16.5,0.3
Ciastko herbatnik,503.0,6.2,62.3,24.9
Ciastko holenderskie,465.0,6.7,66.5,18.5
